title,phone,whatsapp,website,instagram,facebook,address,nicho,cidade,source,date_found,status,notes
Clinica Dentária do Bairro - Campo de Ourique,21 395 1973,,http://clinicadentariadobairro.pt/,,,"R. Padre Francisco 11 F, 1350-223 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Clinica+Dent%C3%A1ria+do+Bairro+-+Campo+de+Ourique/data=!4m7!3m6!1s0xd19335e10e00b6d:0x4694d0039a12d9b6!8m2!3d38.7150208!4d-9.1684613!16s%2Fg%2F11g8xf5d5f!19sChIJbQvgEF4zGQ0RttkSmgPQlEY?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
The Lisbon Smile Clinic,21 359 0020,,http://lisbonsmile.com/,,,"Rua Marquês de Fronteira 4B, 1070-295 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/The+Lisbon+Smile+Clinic/data=!4m7!3m6!1s0xd193373352ff69b:0x9462497b9d86181a!8m2!3d38.7346386!4d-9.1535848!16s%2Fg%2F1td6ny2c!19sChIJm_YvNXMzGQ0RGhiGnXtJYpQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Santa Madalena Dental Clinic,21 030 2360,https://wa.me/351962171041,https://www.santamadalena.pt/pt/clinicas/lisboa-conde-redondo,,,"Rua do Conde de Redondo 1, 1150-101 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Santa+Madalena+Dental+Clinic/data=!4m7!3m6!1s0xd19339c37bbf58f:0xe48b5a3d8df9bb8f!8m2!3d38.727596!4d-9.142459!16s%2Fg%2F1v3kpbbp!19sChIJj_W7N5wzGQ0Rj7v5jT1ai-Q?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
DentalCare Lisboa,913 913 800,https://api.whatsapp.com/send?phone=351913913800,http://www.dentalcarelisboa.com/,,,"R. Julieta Ferrão 12, 1600-131 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/DentalCare+Lisboa/data=!4m7!3m6!1s0xd19334d130b7b01:0x894f5c12689a0304!8m2!3d38.7448909!4d-9.1528598!16s%2Fg%2F11jh6s6391!19sChIJAXsLE00zGQ0RBAOaaBJcT4k?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
"Clínica Médica E Dentária Do Parque Das Nações, Lda.",21 894 2065,,https://www.clinicaparquedasnacoes.pt/,,,"Alameda dos Oceanos 106 A, 1990-426 Lisboa",Clínicas dentárias,Lisboa,"https://www.google.com/maps/place/Cl%C3%ADnica+M%C3%A9dica+E+Dent%C3%A1ria+Do+Parque+Das+Na%C3%A7%C3%B5es,+Lda./data=!4m7!3m6!1s0xd19318ca9ba62c1:0x492834ddbf5bab09!8m2!3d38.7810122!4d-9.0963031!16s%2Fg%2F11bbrr29v6!19sChIJwWK6qYwxGQ0RCatbv900KEk?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1",2026-09-02,,
Liberdade Clínica Dentária,914 017 410,https://wa.me/351914017410,https://ritdental.com.pt/,,,"Av. da Liberdade 3 2ºAndar - Sala 1, 1250-139 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Liberdade+Cl%C3%ADnica+Dent%C3%A1ria/data=!4m7!3m6!1s0xd193326f11e137f:0x1b1f9cf8f62919ec!8m2!3d38.7162193!4d-9.1428263!16s%2Fg%2F11j6zlzwlq!19sChIJfxMe8SYzGQ0R7Bkp9vicHxs?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Clínica São Dente,21 397 0096,,http://www.saodente.pt/,,,"R. Borges Carneiro 20B, 1200-619 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Cl%C3%ADnica+S%C3%A3o+Dente/data=!4m7!3m6!1s0xd19349d5a353759:0x9996e4bc8da4dfa!8m2!3d38.7115207!4d-9.1575477!16s%2Fg%2F11ckx_kd9x!19sChIJWTc1Wp00GQ0R-k3ayEtumQk?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
The Oral Lab,21 796 9186,https://wa.me/351918741032,http://www.theorallab.pt/,,,"Avenida 5 de Outubro 70 5º, 1050-059 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/The+Oral+Lab/data=!4m7!3m6!1s0xd1933ba2f07b407:0x78b9b545a01a219d!8m2!3d38.7374817!4d-9.1476698!16s%2Fg%2F11fcqf5250!19sChIJB7QHL7ozGQ0RnSEaoEW1uXg?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Sun Lisboa - Clínica Dentária,21 390 0994,,https://sun-lisboa.com/,,,"R. Domingos Sequeira 42C, 1350-122 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Sun+Lisboa+-+Cl%C3%ADnica+Dent%C3%A1ria/data=!4m7!3m6!1s0xd1933052e4ddc75:0x8d353f01d38e29a6!8m2!3d38.7147646!4d-9.1622725!16s%2Fg%2F11kq8d_wg6!19sChIJddxNLgUzGQ0RpimO0wE_NY0?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
Clínica Médica Dentária Dentalshine Lda,21 849 9007,,,,,"Av. dos Estados Unidos da América 2, 1700-031 Lisboa",Clínicas dentárias,Lisboa,https://www.google.com/maps/place/Cl%C3%ADnica+M%C3%A9dica+Dent%C3%A1ria+Dentalshine+Lda/data=!4m7!3m6!1s0xd1933b17404dbf9:0x282de2dcbee26174!8m2!3d38.7490665!4d-9.1314424!16s%2Fg%2F1tjdm__c!19sChIJ-dsEdLEzGQ0RdGHivtziLSg?authuser=0&hl=en&g_ep=EgoyMDI2MDgzMC4wIJJjKgBIAVAD&rclk=1,2026-09-02,,
